match_id,season,venue,innings,batting_team,bowling_team,over,ball,batter,bowler,runs_batter,runs_extras,runs_total,is_wide,is_legbye,is_wicket,dismissal_kind,player_out,toss_winner,toss_decision,match_winner
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,0,1,YS Samra,Haider Ali,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,0,2,DS Bajwa,Haider Ali,4,0,4,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,0,3,DS Bajwa,Haider Ali,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,0,4,DS Bajwa,Haider Ali,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,0,5,DS Bajwa,Haider Ali,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,0,6,DS Bajwa,Haider Ali,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,1,DS Bajwa,Junaid Siddique,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,2,DS Bajwa,Junaid Siddique,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,3,DS Bajwa,Junaid Siddique,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,4,DS Bajwa,Junaid Siddique,2,0,2,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,5,DS Bajwa,Junaid Siddique,4,0,4,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,6,DS Bajwa,Junaid Siddique,0,1,1,1,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,7,DS Bajwa,Junaid Siddique,0,1,1,1,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,1,8,DS Bajwa,Junaid Siddique,0,0,0,0,0,1,caught,DS Bajwa,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,2,1,YS Samra,Haider Ali,2,0,2,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,2,2,YS Samra,Haider Ali,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,2,3,NS Dhaliwal,Haider Ali,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,2,4,NS Dhaliwal,Haider Ali,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,2,5,YS Samra,Haider Ali,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,2,6,NS Dhaliwal,Haider Ali,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,1,YS Samra,Junaid Siddique,0,0,0,0,0,1,caught,YS Samra,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,2,NR Kirton,Junaid Siddique,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,3,NR Kirton,Junaid Siddique,0,1,1,1,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,4,NR Kirton,Junaid Siddique,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,5,NS Dhaliwal,Junaid Siddique,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,6,NS Dhaliwal,Junaid Siddique,2,0,2,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,7,NS Dhaliwal,Junaid Siddique,0,1,1,1,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,3,8,NS Dhaliwal,Junaid Siddique,4,0,4,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,4,1,NR Kirton,Muhammad Arfan,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,4,2,NS Dhaliwal,Muhammad Arfan,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,4,3,NR Kirton,Muhammad Arfan,0,1,1,1,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,4,4,NR Kirton,Muhammad Arfan,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,4,5,NS Dhaliwal,Muhammad Arfan,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,4,6,NR Kirton,Muhammad Arfan,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,4,7,NS Dhaliwal,Muhammad Arfan,4,0,4,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,5,1,NR Kirton,Muhammad Jawadullah,0,0,0,0,0,1,caught,NR Kirton,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,5,2,H Thaker,Muhammad Jawadullah,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,5,3,H Thaker,Muhammad Jawadullah,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,5,4,H Thaker,Muhammad Jawadullah,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,5,5,H Thaker,Muhammad Jawadullah,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,5,6,H Thaker,Muhammad Jawadullah,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,6,1,H Thaker,Haider Ali,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,6,2,H Thaker,Haider Ali,0,0,0,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,6,3,H Thaker,Haider Ali,4,0,4,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,6,4,H Thaker,Haider Ali,6,0,6,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,6,5,H Thaker,Haider Ali,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
20,2025/26,"Arun Jaitley Stadium, Delhi",1,Canada,United Arab Emirates,6,6,NS Dhaliwal,Haider Ali,1,0,1,0,0,0,,,Canada,bat,United Arab Emirates
