bowler,runs,balls,wickets,dots,overs,economy,wkt_rate,dot_pct,Impact_Index,PP_Index,Death_Index,bowling_type,bowling_role,Powerplay,Middle,Death,Middle_Index
A Dutt,89,78,5,35,13.0,6.846153846153846,0.38461538461538464,0.44871794871794873,0.4245769219670029,0.0,0.0,Pace,Powerplay,0.38461538461538464,0.11538461538461539,0.0,0.0
A Zampa,119,92,8,34,15.333333333333334,7.760869565217391,0.5217391304347826,0.3695652173913043,0.2434387065758934,0.0,0.7364612763060676,Pace,Middle,0.0,0.43902439024390244,0.12195121951219512,0.0
AJ Hosein,114,78,3,25,13.0,8.76923076923077,0.23076923076923078,0.32051282051282054,-0.714581714339095,0.0,0.15944403800286483,Pace,Powerplay,0.2916666666666667,0.16666666666666666,0.08333333333333333,0.0
AR Patel,73,66,6,34,11.0,6.636363636363637,0.5454545454545454,0.5151515151515151,1.013742476131247,0.0,0.0,Spinner,Middle,0.047619047619047616,0.42857142857142855,0.047619047619047616,0.0
AU Rashid,137,90,6,32,15.0,9.133333333333333,0.4,0.35555555555555557,-0.33342648848763917,0.0,0.08314754056511925,Pace,Middle,0.0,0.4444444444444444,0.1111111111111111,0.0
Abrar Ahmed,92,66,3,22,11.0,8.363636363636363,0.2727272727272727,0.3333333333333333,-0.5029767666193434,0.0,0.15944403800286483,Spinner,Middle,0.16666666666666666,0.2222222222222222,0.2222222222222222,0.0
Ali Hasan,117,84,4,34,14.0,8.357142857142858,0.2857142857142857,0.40476190476190477,-0.2358436339274778,0.0,-0.3345603870552516,Pace,Powerplay,0.4166666666666667,0.0,0.16666666666666666,0.0
Arshdeep Singh,79,60,3,29,10.0,7.9,0.3,0.48333333333333334,0.15168804269321876,0.0,-0.14478054760450246,Pace,Powerplay,0.4444444444444444,0.0,0.1111111111111111,0.0
B Evans,78,62,9,29,10.333333333333334,7.548387096774193,0.8709677419354839,0.46774193548387094,1.317464705464662,0.0,1.1816682749412266,Pace,Powerplay,0.30612244897959184,0.061224489795918366,0.2653061224489796,0.0
B Muzarabani,75,72,9,38,12.0,6.25,0.75,0.5277777777777778,1.5467121860580837,0.0,0.46330809705637666,Pace,Powerplay,0.4,0.0,0.2,0.0
BAD Manenti,103,84,5,42,14.0,7.357142857142857,0.35714285714285715,0.5,0.4352272981283902,0.0,-1.74123856893547,Pace,Middle,0.038461538461538464,0.4230769230769231,0.07692307692307693,0.0
BFW de Leede,99,75,6,23,12.5,7.92,0.48,0.30666666666666664,-0.08449579707740357,0.0,0.3043143842665126,Pace,Middle,0.0,0.358974358974359,0.28205128205128205,0.0
